date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,surface_pressure_mean,shortwave_radiation_sum,daylight_duration,sunshine_duration
2006-01-01,28.7,22.7,25.3,16.5,16.5,98,74,89,8.0,3.9,1000.7,16.58,45588.71,32578.83
2006-01-02,28.3,22.2,25.1,11.3,11.3,98,76,89,8.0,3.5,999.6,14.43,45580.59,25173.78
2006-01-03,28.6,22.6,25.6,15.1,15.1,97,76,89,10.0,5.1,998.5,16.08,45571.77,35585.63
2006-01-04,29.5,22.4,25.4,40.6,40.6,99,71,89,8.7,5.6,998.5,17.77,45562.29,34432.8
2006-01-05,28.6,23.1,25.6,13.0,13.0,98,79,90,11.3,6.6,999.4,16.93,45552.13,33003.31
2006-01-06,29.1,23.1,25.9,5.4,5.4,97,72,88,7.1,3.9,999.4,17.15,45541.32,34268.79
2006-01-07,29.9,22.6,26.1,1.2,1.2,96,69,86,10.3,4.6,998.6,21.65,45529.85,38425.92
2006-01-08,29.7,23.6,26.4,2.2,2.2,96,71,85,12.2,6.9,998.8,21.3,45517.63,41140.97
2006-01-09,29.0,23.1,25.7,18.8,18.8,99,77,88,14.3,7.9,998.9,18.26,45504.61,32789.07
2006-01-10,29.3,23.1,26.1,2.4,2.4,96,70,85,10.7,5.8,999.1,20.09,45490.79,36199.19
2006-01-11,28.9,23.8,26.0,8.7,8.7,96,79,88,9.1,4.0,999.0,17.58,45476.23,35899.36
2006-01-12,29.9,22.6,26.4,3.3,3.3,97,68,84,9.8,4.9,998.8,20.72,45460.94,41020.44
2006-01-13,30.0,22.6,25.9,11.3,11.3,98,76,89,8.6,4.4,998.6,20.55,45444.96,39759.73
2006-01-14,30.6,22.8,26.5,10.7,10.7,99,66,83,11.3,6.7,998.5,21.87,45428.31,36820.55
2006-01-15,29.7,23.4,25.9,22.0,22.0,99,74,88,8.7,4.4,998.6,20.61,45411.03,41260.72
2006-01-16,28.4,22.3,24.7,24.7,24.7,99,78,92,10.2,4.3,998.6,14.32,45393.14,22660.36
2006-01-17,27.2,22.7,24.5,19.5,19.5,98,87,95,11.8,6.2,998.4,11.54,45374.67,27181.95
2006-01-18,29.0,22.6,24.9,4.8,4.8,98,74,89,9.8,5.9,997.6,19.55,45355.65,38497.21
2006-01-19,28.7,21.8,25.0,8.1,8.1,98,77,90,11.0,5.7,997.7,20.44,45336.12,40254.79
2006-01-20,28.9,22.9,25.0,7.4,7.4,97,78,91,13.3,10.1,997.8,17.31,45316.09,31147.66
2006-01-21,24.1,22.1,23.1,91.8,91.8,98,87,95,22.2,17.7,997.8,3.08,45295.6,0.0
2006-01-22,30.6,22.7,26.3,0.0,0.0,88,56,73,15.1,10.3,996.7,20.96,45274.67,35639.77
2006-01-23,30.2,24.1,26.6,0.8,0.8,90,61,78,10.3,6.1,996.8,17.55,45253.33,26312.73
2006-01-24,29.5,24.3,26.3,0.8,0.8,92,68,80,11.2,7.6,998.3,15.57,45231.61,33804.19
2006-01-25,31.7,23.3,27.2,0.1,0.1,91,60,78,7.8,4.9,999.0,22.26,45209.53,36023.72
2006-01-26,31.5,23.8,27.4,1.6,1.6,94,62,79,11.5,6.5,998.4,22.21,45187.12,40448.55
2006-01-27,31.7,24.5,27.7,0.1,0.1,89,56,72,20.5,13.7,997.3,21.16,45164.41,37330.81
2006-01-28,27.7,25.2,26.7,6.7,6.7,77,58,69,23.5,20.1,998.5,10.42,45141.21,8947.71
2006-01-29,31.3,26.6,28.4,0.2,0.2,63,54,59,29.3,22.0,998.1,23.85,45117.42,40946.6
2006-01-30,31.2,26.4,28.1,0.9,0.9,65,53,60,30.3,20.0,998.8,17.87,45093.07,26645.95
2006-01-31,29.6,25.4,27.0,3.0,3.0,78,58,66,25.7,19.9,999.0,13.77,45068.18,16202.63
2006-02-01,28.6,22.0,25.9,12.3,12.3,94,60,75,22.1,18.6,1000.1,10.83,45042.8,12822.95
2006-02-02,28.6,22.3,24.6,26.3,26.3,96,70,87,20.2,16.5,1001.6,14.6,45016.97,24786.0
2006-02-03,26.2,21.9,24.0,22.4,22.4,96,73,85,19.6,17.2,1001.4,7.35,44990.71,3127.92
2006-02-04,27.8,23.1,25.2,4.2,4.2,86,69,78,22.6,15.0,1000.5,15.5,44964.06,27170.12
2006-02-05,26.8,23.3,25.0,2.2,2.2,88,77,82,22.4,14.5,1000.8,13.24,44937.05,28512.1
2006-02-06,28.6,22.2,25.3,2.8,2.8,94,71,83,17.7,11.4,1000.9,21.16,44909.72,40692.14
2006-02-07,29.6,22.1,25.4,5.2,5.2,96,67,85,18.6,10.9,1000.8,24.83,44882.09,40318.36
2006-02-08,29.0,22.2,25.0,3.4,3.4,96,76,87,18.9,10.7,1001.0,21.67,44854.2,38711.55
2006-02-09,28.0,22.3,24.8,2.9,2.9,98,79,89,19.8,13.0,1001.7,20.38,44826.08,36567.02
2006-02-10,29.4,22.5,25.7,1.0,1.0,96,65,82,19.2,11.8,1000.4,24.35,44797.76,39635.13
2006-02-11,29.8,21.8,26.0,0.0,0.0,96,65,82,14.6,8.7,1000.1,26.27,44769.26,41569.59
2006-02-12,29.8,22.4,26.3,0.5,0.5,95,65,82,12.2,5.2,1000.5,23.71,44740.63,41237.87
2006-02-13,29.2,23.3,26.4,3.0,3.0,96,71,84,7.2,4.2,1000.1,19.77,44711.88,40234.42
2006-02-14,29.8,23.5,26.1,23.3,23.3,99,72,88,8.1,3.9,1000.4,20.09,44683.05,35967.92
2006-02-15,27.1,23.5,24.8,150.5,150.5,99,83,94,11.1,6.3,1000.1,11.53,44654.16,29739.64
2006-02-16,28.2,23.3,25.5,7.3,7.3,96,80,89,7.9,5.6,999.5,13.42,44625.23,20903.31
2006-02-17,29.5,23.0,25.5,15.5,15.5,98,70,89,9.7,5.3,999.5,19.31,44596.1,37935.37
2006-02-18,29.0,23.0,25.4,7.6,7.6,98,71,89,13.4,7.5,999.3,16.06,44566.6,26045.69
2006-02-19,29.8,21.8,25.5,9.0,9.0,98,72,88,16.8,7.7,998.8,22.07,44536.79,40652.02
2006-02-20,28.5,23.0,24.7,12.4,12.4,98,80,94,17.9,9.9,999.1,13.35,44506.68,13625.51
2006-02-21,27.6,22.7,25.2,9.8,9.8,98,75,87,8.0,6.2,998.3,14.77,44476.31,34520.7
2006-02-22,29.5,23.3,25.9,0.9,0.9,96,68,85,7.3,4.8,997.7,14.62,44445.7,21247.91
2006-02-23,28.5,23.2,25.9,6.8,6.8,93,72,83,12.4,5.3,996.7,13.85,44414.89,19513.06
2006-02-24,28.1,23.6,25.5,14.6,14.6,98,80,89,16.6,11.6,996.7,18.75,44383.89,38684.83
2006-02-25,27.4,22.7,24.7,11.7,11.7,98,81,92,17.8,10.9,996.9,13.02,44352.75,22407.36
2006-02-26,27.3,23.0,25.1,7.4,7.4,97,78,89,20.9,8.6,997.0,10.35,44321.48,5839.91
2006-02-27,29.0,23.8,25.7,11.2,11.2,98,74,88,13.5,8.2,997.9,16.0,44290.11,38292.61
2006-02-28,29.4,23.2,25.9,5.0,5.0,96,75,87,12.3,5.6,998.1,21.04,44258.66,39617.3
2006-03-01,28.3,23.3,25.5,5.8,5.8,97,75,89,9.4,4.3,998.8,17.43,44227.17,28824.67
2006-03-02,29.0,23.4,25.3,8.3,8.3,99,74,90,11.4,6.6,999.5,16.78,44195.66,29306.2
2006-03-03,28.4,22.8,25.0,24.3,24.3,98,75,91,19.6,10.2,1000.0,16.47,44164.14,33901.68
2006-03-04,28.2,23.1,25.1,10.0,10.0,98,77,87,16.8,12.3,1001.5,17.34,44132.66,29869.47
2006-03-05,29.3,23.5,25.8,1.4,1.4,86,64,77,14.4,11.7,1000.5,17.05,44101.23,30923.12
2006-03-06,29.3,23.7,26.3,0.4,0.4,87,64,78,12.5,8.3,999.8,15.78,44069.88,31551.45
2006-03-07,28.6,23.5,25.9,6.8,6.8,93,74,84,12.3,6.7,1001.0,13.56,44038.62,37807.71
2006-03-08,29.7,23.2,25.9,0.7,0.7,92,63,79,13.6,7.6,1002.5,18.44,44007.5,33885.55
2006-03-09,30.6,24.2,26.5,7.6,7.6,97,59,79,9.5,6.4,1001.8,15.51,43976.31,23403.32
2006-03-10,27.0,23.1,25.0,10.1,10.1,97,78,87,13.1,7.4,1001.6,11.88,43944.95,30528.08
2006-03-11,26.2,22.8,23.9,79.5,79.5,97,81,93,19.2,14.3,999.4,6.6,43913.44,13313.95
2006-03-12,25.7,22.5,24.0,25.5,25.5,96,79,87,20.2,17.2,999.2,6.65,43881.8,2387.66
2006-03-13,28.5,21.7,25.1,2.5,2.5,93,66,82,19.5,12.5,1000.3,18.67,43850.05,39488.07
2006-03-14,28.6,22.9,25.6,5.4,5.4,93,74,84,19.2,12.9,1000.1,19.02,43818.22,35469.74
2006-03-15,29.5,22.5,25.1,27.3,27.3,98,66,87,17.1,11.5,999.7,18.24,43786.32,28831.02
2006-03-16,26.2,21.6,23.6,34.3,34.3,95,83,90,19.0,13.9,999.8,7.8,43754.38,7172.73
2006-03-17,29.4,20.9,25.1,8.0,8.0,96,64,82,10.1,6.5,998.8,21.06,43722.43,39649.95
2006-03-18,30.4,22.1,26.0,0.7,0.7,96,63,82,8.8,5.3,998.7,23.65,43690.47,40152.2
2006-03-19,30.1,22.2,26.3,0.1,0.1,96,68,83,11.2,5.3,998.6,25.62,43658.54,40627.66
2006-03-20,30.2,23.1,26.6,0.7,0.7,96,68,83,10.9,4.5,998.6,21.79,43626.65,38881.89
2006-03-21,29.5,22.5,25.7,8.0,8.0,98,67,86,10.4,4.9,998.7,20.2,43594.83,33482.85
2006-03-22,29.7,22.6,25.5,2.2,2.2,97,68,87,14.4,6.5,997.8,17.32,43563.09,30296.7
2006-03-23,29.9,22.9,26.4,0.8,0.8,96,66,82,11.6,6.1,997.7,20.73,43531.46,40433.43
2006-03-24,30.0,23.3,25.6,11.5,11.5,97,71,88,17.0,7.7,998.5,20.24,43499.97,38388.43
2006-03-25,29.8,22.3,26.0,4.1,4.1,98,70,86,10.1,5.0,999.7,20.57,43468.62,40083.2
2006-03-26,29.4,23.5,26.2,4.8,4.8,95,74,87,8.2,5.8,999.6,18.5,43437.45,33628.79
2006-03-27,28.8,23.3,25.7,11.9,11.9,98,82,91,9.4,4.7,999.7,16.53,43406.47,35237.54
2006-03-28,29.0,23.4,25.2,15.6,15.6,99,77,93,8.7,4.5,1000.1,16.36,43375.7,29134.52
2006-03-29,29.3,23.0,25.6,8.5,8.5,98,78,90,6.9,4.6,1000.3,16.74,43344.98,31937.21
2006-03-30,29.2,23.5,26.1,8.4,8.4,98,77,88,8.0,4.1,999.6,17.81,43314.21,31090.14
